Course,Number,Prefix,Prof_Name (Assigned Dept-College),Enrolled ,A,B,C,D,F,W,I ,*,P,F
MGT,3100,,Sava Magda Gabriela (1305-CBUS),34, 14.71,38.24,35.29,2.94,0,5.88,2.94,0,0,0
MGT,3100,,Simpson Thomas W. (5406-PROV),46, 69.57,23.91,0,0,0,6.52,0,0,0,0
MGT,3100,H,Sava Magda Gabriela (1305-CBUS),5, #,#,#,#,#,#,#,#,#,#
MGT,3120,,Yoder Sara Elizabeth (1305-CBUS),138, 15.94,19.57,23.19,21.01,13.04,7.25,0,0,0,0
MGT,3170,,Colak Ahmet  (1305-CBUS),16, 43.75,43.75,12.50,0,0,0,0,0,0,0
MGT,3180,,Dutchak Iaroslava Volodymyrivna (1305-CBUS),40, 47.50,35.00,5.00,2.50,0,10.00,0,0,0,0
MGT,3180,,Esposito Tina Marie (1305-CBUS),92, 38.04,36.96,20.65,0,2.17,2.17,0,0,0,0
MGT,3180,,Matthews Kevin Daniel (1305-CBUS),57, 59.65,22.81,12.28,0,5.26,0,0,0,0,0
MGT,3180,,Risius Marten  (1305-CBUS),39, 28.21,56.41,10.26,2.56,0,2.56,0,0,0,0
MGT,3500,,Li Siyuan  (1305-CBUS),22, 18.18,72.73,9.09,0,0,0,0,0,0,0
MGT,3510,,Atadeniz Sukran Nilvana (1305-CBUS),19, 31.58,52.63,15.79,0,0,0,0,0,0,0
MGT,3900,,Ajjuguttu Maneeshreddy  (1305-CBUS),36, 36.11,50.00,11.11,0,2.78,0,0,0,0,0
MGT,3900,,Ferrand Yann  (1305-CBUS),39, 15.38,46.15,30.77,2.56,0,2.56,2.56,0,0,0
MGT,3900,,Leffakis Zachary Moran (1305-CBUS),40, 12.50,22.50,57.50,5.00,0,2.50,0,0,0,0
MGT,3900,,Nielubowicz Daniel J (1305-CBUS),37, 32.43,24.32,32.43,0,2.70,8.11,0,0,0,0
MGT,3900,,Quiroga Gomez Bernardo Francisco (1305-CBUS),78, 15.38,41.03,28.21,2.56,2.56,10.26,0,0,0,0
MGT,3980,,Sridharan V  (1305-CBUS),4, #,#,#,#,#,#,#,#,#,#
MGT,4000,,Cole Michael A (1305-CBUS),80, 82.50,12.50,5.00,0,0,0,0,0,0,0
MGT,4000,,Roth Philip L (1305-CBUS),40, 15.00,40.00,35.00,5.00,0,5.00,0,0,0,0
MGT,4000,,Zagenczyk Thomas Joseph (1305-CBUS),36, 22.22,36.11,30.56,2.78,2.78,5.56,0,0,0,0
MGT,4020,,Leffakis Zachary Moran (1305-CBUS),16, 31.25,43.75,25.00,0,0,0,0,0,0,0
MGT,4020,H,Leffakis Zachary Moran (1305-CBUS),2, #,#,#,#,#,#,#,#,#,#
MGT,4030,,Clark Katherine D (1305-CBUS),1, #,#,#,#,#,#,#,#,#,#
MGT,4080,,Leffakis Zachary Moran (1305-CBUS),30, 20.00,60.00,20.00,0,0,0,0,0,0,0
MGT,4110,,Purvis Russell L. (1305-CBUS),43, 25.58,37.21,32.56,0,4.65,0,0,0,0,0
MGT,4120,,Colak Ahmet  (1305-CBUS),37, 37.84,54.05,8.11,0,0,0,0,0,0,0
MGT,4150,,Ingram Amy Elizabeth (1305-CBUS),86, 31.40,56.98,9.30,0,1.16,1.16,0,0,0,0
